City,cost_one_person_usd,rent_one_person_usd,monthly_salary_after_tax_usd,income_after_rent_usd,months_covered,cost_one_person_inr,rent_one_person_inr,monthly_salary_after_tax_inr,income_after_rent_inr,usd_to_inr_rate_used,source_url
 Thoothukudi,646,83.5,270,186.5,0.9,56760.01,7336.63,23723.23,16386.6,87.8638,https://livingcost.org/cost/india/tn/thoothukudi
 Tiruchirappalli,300,102,279,177,0.9,26359.14,8962.11,24514,15551.89,87.8638,https://livingcost.org/cost/india/tn/tiruchirappalli
 Tirunelveli,646,92.1,235,142.9,0.9,56760.01,8092.26,20647.99,12555.74,87.8638,https://livingcost.org/cost/india/tn/tirunelveli
 Tiruppur,345,143,415,272,1.2,30313.01,12564.52,36463.48,23898.95,87.8638,https://livingcost.org/cost/india/tn/tiruppur
 Vellore,382,60.3,496,435.7,2.1,33563.97,5298.19,43580.44,38282.26,87.8638,https://livingcost.org/cost/india/tn/vellore
 Agartala,362,101,387,286,1.1,31806.7,8874.24,34003.29,25129.05,87.8638,https://livingcost.org/cost/india/tr/agartala
 Agra,264,109,564,455,1.5,23196.04,9577.15,49555.18,39978.03,87.8638,https://livingcost.org/cost/india/up/agra
 Aligarh,322,82.5,248,165.5,0.8,28292.14,7248.76,21790.22,14541.46,87.8638,https://livingcost.org/cost/india/up/aligarh
 Allahabad,386,105,387,282,1.3,33915.43,9225.7,34003.29,24777.59,87.8638,https://livingcost.org/cost/india/up/allahabad
 Bareilly,290,89.7,427,337.3,1.5,25480.5,7881.38,37517.84,29636.46,87.8638,https://livingcost.org/cost/india/up/bareilly
 Ghaziabad,372,119,454,335,1.2,32685.33,10455.79,39890.17,29434.37,87.8638,https://livingcost.org/cost/india/up/ghaziabad
 Gorakhpur,298,95.1,211,115.9,0.7,26183.41,8355.85,18539.26,10183.41,87.8638,https://livingcost.org/cost/india/up/gorakhpur
 Jaunpur,386,92.8,343,250.2,1.2,33915.43,8153.76,30137.28,21983.52,87.8638,https://livingcost.org/cost/india/up/jaunpur
 Jhansi,345,129,424,295,1.2,30313.01,11334.43,37254.25,25919.82,87.8638,https://livingcost.org/cost/india/up/jhansi
 Kanpur,320,99.6,432,332.4,1.3,28116.42,8751.23,37957.16,29205.93,87.8638,https://livingcost.org/cost/india/up/kanpur
 Lucknow,386,113,352,239,1,33915.43,9928.61,30928.06,20999.45,87.8638,https://livingcost.org/cost/india/up/lucknow
 Mathura,293,84.3,491,406.7,1.7,25744.09,7406.92,43141.13,35734.21,87.8638,https://livingcost.org/cost/india/up/mathura
 Meerut,350,135,559,424,1.6,30752.33,11861.61,49115.86,37254.25,87.8638,https://livingcost.org/cost/india/up/meerut
 Mirzapur,276,90.1,406,315.9,1.5,24250.41,7916.53,35672.7,27756.17,87.8638,https://livingcost.org/cost/india/up/mirzapur
 Moradabad,290,79.7,491,411.3,1.7,25480.5,7002.74,43141.13,36138.38,87.8638,https://livingcost.org/cost/india/up/moradabad
 Noida,437,187,492,305,1.1,38396.48,16430.53,43228.99,26798.46,87.8638,https://livingcost.org/cost/india/up/noida
 Saharanpur,427,104,333,229,1.2,37517.84,9137.84,29258.65,20120.81,87.8638,https://livingcost.org/cost/india/up/saharanpur
 Sambhal,301,98.2,507,408.8,1.7,26447,8628.23,44546.95,35918.72,87.8638,https://livingcost.org/cost/india/up/sambhal
 Varanasi,273,74.7,356,281.3,1.3,23986.82,6563.43,31279.51,24716.09,87.8638,https://livingcost.org/cost/india/up/varanasi
 Dehradun,427,160,225,65,0.6,37517.84,14058.21,19769.35,5711.15,87.8638,https://livingcost.org/cost/india/ut/dehradun
 Rishikesh,427,147,224,77,0.6,37517.84,12915.98,19681.49,6765.51,87.8638,https://livingcost.org/cost/india/ut/rishikesh
 Asansol,286,86,383,297,1.3,25129.05,7556.29,33651.84,26095.55,87.8638,https://livingcost.org/cost/india/wb/asansol
 Bally,318,116,364,248,1.1,27940.69,10192.2,31982.42,21790.22,87.8638,https://livingcost.org/cost/india/wb/bally
 Balurghat,297,100,334,234,1.1,26095.55,8786.38,29346.51,20560.13,87.8638,https://livingcost.org/cost/india/wb/balurghat
 Baranagar,301,116,370,254,1.2,26447,10192.2,32509.61,22317.41,87.8638,https://livingcost.org/cost/india/wb/baranagar
 Barasat,301,124,381,257,1.1,26447,10895.11,33476.11,22581,87.8638,https://livingcost.org/cost/india/wb/barasat
 Bardhaman,302,101,453,352,1.5,26534.87,8874.24,39802.3,30928.06,87.8638,https://livingcost.org/cost/india/wb/bardhaman
 Barrackpore,315,116,277,161,0.9,27677.1,10192.2,24338.27,14146.07,87.8638,https://livingcost.org/cost/india/wb/barrackpore
 Berhampore,294,96.5,403,306.5,1.4,25831.96,8478.86,35409.11,26930.25,87.8638,https://livingcost.org/cost/india/wb/berhampore
 Bhatpara,320,112,378,266,1.2,28116.42,9840.75,33212.52,23371.77,87.8638,https://livingcost.org/cost/india/wb/bhatpara
 Bidhannagar,301,119,383,264,1.1,26447,10455.79,33651.84,23196.04,87.8638,https://livingcost.org/cost/india/wb/bidhannagar
 Chandannagar,313,113,375,262,1.2,27501.37,9928.61,32948.92,23020.32,87.8638,https://livingcost.org/cost/india/wb/chandannagar
 Durgapur,289,93,282,189,1,25392.64,8171.33,24777.59,16606.26,87.8638,https://livingcost.org/cost/india/wb/durgapur
 Haldia,376,160,387,227,1,33036.79,14058.21,34003.29,19945.08,87.8638,https://livingcost.org/cost/india/wb/haldia
 Howrah,301,114,455,341,1.4,26447,10016.47,39978.03,29961.56,87.8638,https://livingcost.org/cost/india/wb/howrah
 Hugli-Chuchura,312,112,375,263,1.2,27413.51,9840.75,32948.92,23108.18,87.8638,https://livingcost.org/cost/india/wb/hugli-chuchura
 Kamarhati,320,116,351,235,1.1,28116.42,10192.2,30840.19,20647.99,87.8638,https://livingcost.org/cost/india/wb/kamarhati
 Kharagpur,277,95.5,402,306.5,1.5,24338.27,8390.99,35321.25,26930.25,87.8638,https://livingcost.org/cost/india/wb/kharagpur
 Kolkata,301,121,354,233,1,26447,10631.52,31103.79,20472.27,87.8638,https://livingcost.org/cost/india/wb/kolkata
 Krishnanagar,272,73.1,401,327.9,1.5,23898.95,6422.84,35233.38,28810.54,87.8638,https://livingcost.org/cost/india/wb/krishnanagar
 Kulti,289,92.6,298,205.4,1,25392.64,8136.19,26183.41,18047.22,87.8638,https://livingcost.org/cost/india/wb/kulti
 Madhyamgram,317,115,372,257,1.2,27852.82,10104.34,32685.33,22581,87.8638,https://livingcost.org/cost/india/wb/madhyamgram
 Maheshtala,344,129,392,263,1.1,30225.15,11334.43,34442.61,23108.18,87.8638,https://livingcost.org/cost/india/wb/maheshtala
 Malda,274,99.1,405,305.9,1.4,24074.68,8707.3,35584.84,26877.54,87.8638,https://livingcost.org/cost/india/wb/malda
 Midnapore,287,101,399,298,1.4,25216.91,8874.24,35057.66,26183.41,87.8638,https://livingcost.org/cost/india/wb/midnapore
 Naihati,301,111,364,253,1.2,26447,9752.88,31982.42,22229.54,87.8638,https://livingcost.org/cost/india/wb/naihati
 North Dumdum,301,117,371,254,1.2,26447,10280.06,32597.47,22317.41,87.8638,https://livingcost.org/cost/india/wb/north-dumdum
 Panihati,301,117,281,164,0.9,26447,10280.06,24689.73,14409.66,87.8638,https://livingcost.org/cost/india/wb/panihati
 Raiganj,298,99.7,380,280.3,1.3,26183.41,8760.02,33388.24,24628.22,87.8638,https://livingcost.org/cost/india/wb/raiganj
 Rajarhat,301,118,376,258,1.1,26447,10367.93,33036.79,22668.86,87.8638,https://livingcost.org/cost/india/wb/rajarhat
 Rajpur Sonarpur,301,119,382,263,1.2,26447,10455.79,33563.97,23108.18,87.8638,https://livingcost.org/cost/india/wb/rajpur-sonarpur
 Serampore,315,115,380,265,1.2,27677.1,10104.34,33388.24,23283.91,87.8638,https://livingcost.org/cost/india/wb/serampore
 Shantipur,301,86.1,288,201.9,1,26447,7565.07,25304.77,17739.7,87.8638,https://livingcost.org/cost/india/wb/shantipur
 Siliguri,297,91.2,279,187.8,0.9,26095.55,8013.18,24514,16500.82,87.8638,https://livingcost.org/cost/india/wb/siliguri
 South Dumdum,301,118,370,252,1.1,26447,10367.93,32509.61,22141.68,87.8638,https://livingcost.org/cost/india/wb/south-dumdum
 Uluberia,324,119,376,257,1.2,28467.87,10455.79,33036.79,22581,87.8638,https://livingcost.org/cost/india/wb/uluberia
 Uttarpara,312,116,291,175,0.9,27413.51,10192.2,25568.37,15376.16,87.8638,https://livingcost.org/cost/india/wb/uttarpara
 Alleppey,342,112.5,301,188.5,0.9,30049.4196,9884.6775,26447.0038,16562.3263,87.8638,https://hiracost.com/cost/india/kerala/alleppey/
