City,cost_one_person_usd,rent_one_person_usd,monthly_salary_after_tax_usd,income_after_rent_usd,months_covered,cost_one_person_inr,rent_one_person_inr,monthly_salary_after_tax_inr,income_after_rent_inr,usd_to_inr_rate_used,source_url
 Amravati,487,87.9,414,326.1,1.3,42789.67,7723.23,36375.61,28652.39,87.8638,https://livingcost.org/cost/india/mh/amravati
 Aurangabad,355,114,459,345,1.3,31191.65,10016.47,40329.48,30313.01,87.8638,https://livingcost.org/cost/india/mh/aurangabad
 Bhiwandi,305,150,590,440,1.6,26798.46,13179.57,51839.64,38660.07,87.8638,https://livingcost.org/cost/india/mh/bhiwandi
 Ichalkaranji,297,99.3,243,143.7,0.8,26095.55,8724.88,21350.9,12626.03,87.8638,https://livingcost.org/cost/india/mh/ichalkaranji
 Jalgaon,303,111,445,334,1.5,26622.73,9752.88,39099.39,29346.51,87.8638,https://livingcost.org/cost/india/mh/jalgaon
 Kalyan,305,160,633,473,1.6,26798.46,14058.21,55617.79,41559.58,87.8638,https://livingcost.org/cost/india/mh/kalyan
 Kolhapur,309,93.7,276,182.3,0.9,27149.91,8232.84,24250.41,16017.57,87.8638,https://livingcost.org/cost/india/mh/kolhapur
 Latur,277,120,399,279,1,24338.27,10543.66,35057.66,24514,87.8638,https://livingcost.org/cost/india/mh/latur
 Malegaon,382,144,411,267,1.1,33563.97,12652.39,36112.02,23459.63,87.8638,https://livingcost.org/cost/india/mh/malegaon
 Mumbai,705,401,222,-179,0.3,61943.98,35233.38,19505.76,-15727.62,87.8638,https://livingcost.org/cost/india/mh/mumbai
 Nagpur,291,227,293,66,0.5,25568.37,19945.08,25744.09,5799.01,87.8638,https://livingcost.org/cost/india/mh/nagpur
 Nanded,264,99.9,369,269.1,1.1,23196.04,8777.59,32421.74,23644.15,87.8638,https://livingcost.org/cost/india/mh/nanded
 Nashik,350,114,561,447,1.6,30752.33,10016.47,49291.59,39275.12,87.8638,https://livingcost.org/cost/india/mh/nashik
 Navi Mumbai,503,261,680,419,1.4,44195.49,22932.45,59747.38,36814.93,87.8638,https://livingcost.org/cost/india/mh/navi-mumbai
 Pune,517,209,490,281,0.9,45425.58,18363.53,43053.26,24689.73,87.8638,https://livingcost.org/cost/india/mh/pune
 Sangli,297,92.6,237,144.4,0.8,26095.55,8136.19,20823.72,12687.53,87.8638,https://livingcost.org/cost/india/mh/sangli
 Satara,310,72.6,210,137.4,0.8,27237.78,6378.91,18451.4,12072.49,87.8638,https://livingcost.org/cost/india/mh/satara
 Solapur,340,84.1,437,352.9,1.5,29873.69,7389.35,38396.48,31007.14,87.8638,https://livingcost.org/cost/india/mh/solapur
 Thane,487,233,629,396,1.3,42789.67,20472.27,55266.33,34794.06,87.8638,https://livingcost.org/cost/india/mh/thane
 Vasai,310,90.3,712,621.7,2.7,27237.78,7934.1,62559.03,54624.92,87.8638,https://livingcost.org/cost/india/mh/vasai
 Shillong,354,169,199,30,0.6,31103.79,14848.98,17484.9,2635.91,87.8638,https://livingcost.org/cost/india/ml/shillong
 Imphal,321,103,199,96,0.5,28204.28,9049.97,17484.9,8434.92,87.8638,https://livingcost.org/cost/india/mn/imphal
 Bhopal,339,107,316,209,0.9,29785.83,9401.43,27764.96,18363.53,87.8638,https://livingcost.org/cost/india/mp/bhopal
 Gwalior,329,111,360,249,1.1,28907.19,9752.88,31630.97,21878.09,87.8638,https://livingcost.org/cost/india/mp/gwalior
 Indore,361,128,332,204,0.9,31718.83,11246.57,29170.78,17924.22,87.8638,https://livingcost.org/cost/india/mp/indore
